+------------------------------------------+-------------------------------------------------------+
| Variable_name                            | Value                                                 |
+------------------------------------------+-------------------------------------------------------+
| Aborted_clients                          | 0                                                     |
| Aborted_connects                         | 0                                                     |
| Binlog_cache_disk_use                    | 0                                                     |
| Binlog_cache_use                         | 0                                                     |
| Binlog_stmt_cache_disk_use               | 0                                                     |
| Binlog_stmt_cache_use                    | 0                                                     |
| Bytes_received                           | 200                                                   |
| Bytes_sent                               | 178                                                   |
| Com_admin_commands                       | 0                                                     |
| Com_assign_to_keycache                   | 0                                                     |
| Com_alter_db                             | 0                                                     |
| Com_alter_db_upgrade                     | 0                                                     |
| Com_alter_event                          | 0                                                     |
| Com_alter_function                       | 0                                                     |
| Com_alter_procedure                      | 0                                                     |
| Com_alter_server                         | 0                                                     |
| Com_alter_table                          | 0                                                     |
| Com_alter_tablespace                     | 0                                                     |
| Com_analyze                              | 0                                                     |
| Com_begin                                | 0                                                     |
| Com_binlog                               | 0                                                     |
| Com_call_procedure                       | 0                                                     |
| Com_change_db                            | 0                                                     |
| Com_change_master                        | 0                                                     |
| Com_check                                | 0                                                     |
| Com_checksum                             | 0                                                     |
| Com_commit                               | 102                                                   |
| Com_create_db                            | 0                                                     |
| Com_create_event                         | 0                                                     |
| Com_create_function                      | 0                                                     |
| Com_create_index                         | 1                                                     |
| Com_create_procedure                     | 0                                                     |
| Com_create_server                        | 0                                                     |
| Com_create_table                         | 1                                                     |
| Com_create_trigger                       | 0                                                     |
| Com_create_udf                           | 0                                                     |
| Com_create_user                          | 0                                                     |
| Com_create_view                          | 0                                                     |
| Com_dealloc_sql                          | 0                                                     |
| Com_delete                               | 0                                                     |
| Com_delete_multi                         | 0                                                     |
| Com_do                                   | 0                                                     |
| Com_drop_db                              | 0                                                     |
| Com_drop_event                           | 0                                                     |
| Com_drop_function                        | 0                                                     |
| Com_drop_index                           | 0                                                     |
| Com_drop_procedure                       | 0                                                     |
| Com_drop_server                          | 0                                                     |
